SourceFileId,TripEndTime,VehicleId,TripDistance,DriveFuel,DriveFuelEconomy,DistanceAvgLoadFactor,Drivetime,StopIdleTime,StopIdleFuel,StopIdlePercent,BrakeCount,HardBrakeCount,EngineBraketime,CruiseTime,OverSpeedAtime,OverSpeedBtime,EngineFantime,TopGearDistance,TopGearMinusOneDistance,DistanceAvgvehiclespeed
40490,7/3/2017,257,13469.9,1961.63,6.87,0.44,911304,721404,81.5,0.43,5355,1,409896,301968,24228,720,1423476,11579.7,1176.9,53.21
27954,8/26/2016,260,108832.8,15810.37,6.88,0.46,6756869,2155142,215.25,0.23,34647,30,143304,3403050,264673,28144,6040969,102749.4,2713.5,57.99
28446,8/26/2016,260,108832.8,15810.37,6.88,0.46,6756876,2155140,215.25,0.23,34647,30,143316,3403044,264672,28152,6040980,102749.4,2713.5,57.99
39696,3/27/2017,277,42992.2,6250.88,6.88,0.47,2639412,2724696,162,0.5,13024,12,119304,1259064,803484,11088,3456,41020.2,868.8,58.64
39361,2/16/2017,282,29182.1,4238.75,6.88,0.46,1864980,829008,63.25,0.3,7084,2,248724,1156824,77076,3456,450972,27569.5,721.5,56.33
40710,11/16/2017,277,2363.1,342.88,6.89,0.47,137124,31752,2.63,0.18,572,0,125244,78660,93024,324,72,2300,21.3,62.04
39469,3/8/2017,260,25628.3,3721.38,6.89,0.47,1554768,521280,44.75,0.24,6769,4,222264,872712,68724,5940,1379700,24458.1,540.6,59.34
40233,5/23/2017,260,20012.3,2903.25,6.89,0.46,1234332,392148,35.38,0.23,6604,6,252396,677556,61920,7164,1390428,18886.2,482.4,58.37
40366,6/18/2017,260,9741.9,1414,6.89,0.45,605592,367884,31.5,0.37,3496,3,268704,295056,29520,2880,889596,9177.6,233.8,57.91
40603,8/29/2017,257,21251.1,3084.13,6.89,0.45,1412604,1328436,162,0.47,7828,8,456228,679392,36252,720,2460276,18738,1568.7,54.16
40633,9/26/2017,273,1917.7,277.88,6.9,0.47,126936,71964,19.13,0.35,893,0,307080,51444,33876,72,159588,1771.4,75.1,54.39
39518,3/16/2017,279,52050.2,7533,6.91,0.44,3394728,1162008,101.5,0.24,20882,15,166896,2354040,92232,15732,2901420,47449.7,2119.6,55.2
40680,10/23/2017,279,4533,654.75,6.92,0.46,297000,37944,4.75,0.11,2116,9,201564,222840,7200,504,315396,4326,84.5,54.95
40239,5/24/2017,257,5671,819.63,6.92,0.46,373464,201708,21.63,0.34,1744,1,364428,210420,5436,72,408492,5203.1,240.1,54.67
28421,8/18/2016,252,286327.7,41290.5,6.93,0.45,18162792,12425076,1304.38,0.39,72788,171,871092,11901096,473976,7992,22024260,261112.2,13849.8,56.75
28430,8/21/2016,252,286328,41290.5,6.93,0.45,18162972,12425076,1304.38,0.39,72798,171,871092,11901096,473976,7992,22024656,261112.2,13849.8,56.75
39573,3/17/2017,278,23236.7,3355.25,6.93,0.44,1518840,395712,53,0.2,8039,9,667692,831276,48960,4464,1395432,21245.1,1042.9,55.08
40179,5/15/2017,273,458630.5,66182.87,6.93,0.44,32603364,130860,17,0,3881,1,306432,13078152,92412,504,16704,7612.1,430.9,50.64
40604,8/29/2017,273,13130.9,1895,6.93,0.45,923364,831852,192.38,0.46,7793,3,307080,202284,152568,288,1471356,11711.4,657.2,51.19
28425,8/19/2016,275,131792.8,19027.13,6.93,0.46,8144928,7861392,1548.63,0.48,30631,50,69840,4314708,386316,27864,11721924,123335,4306,58.25
39131,12/26/2016,276,11996.8,1728.75,6.94,0.47,751788,791064,64.75,0.5,4341,5,727632,295560,36504,2088,240372,11224.7,371.3,57.45
27931,8/14/2016,252,285581.7,41171.75,6.94,0.45,18107422,12403676,1302.25,0.4,72287,158,869004,11900039,469937,7998,21945376,260633.5,13847.1,56.78
40125,5/4/2017,257,18115.9,2611,6.94,0.45,1186632,306504,33.25,0.2,6055,4,358848,617400,26388,756,876528,16456.2,918.6,54.96
40577,7/18/2017,260,9264.5,1334.13,6.94,0.46,569952,432540,41.88,0.42,2782,6,276624,319320,28260,2484,959940,8823.1,163.5,58.52
40700,11/12/2017,261,1975.5,284.13,6.95,0.44,128628,19116,2,0.12,1156,1,1121076,64044,4860,180,1548,1840.1,57.2,55.29
40656,10/9/2017,279,8660.1,1246.63,6.95,0.46,554976,35784,4.75,0.06,3891,9,198936,404532,19980,1188,579564,8283.9,158.1,56.18
40707,11/13/2017,279,3346.6,481.5,6.95,0.48,199620,28728,2.88,0.12,880,4,206784,159156,10152,792,165600,3264.7,33.3,60.35
40586,8/14/2017,279,2597,373.38,6.96,0.47,163332,97128,9.25,0.36,1132,9,191736,111636,7416,108,250380,2496.9,38.6,57.24
39648,3/24/2017,276,29826.6,4288.38,6.96,0.47,1845036,1182564,97.25,0.38,9256,12,779472,1048788,87480,6480,756180,28083.6,820,58.2
40703,11/13/2017,274,2733.4,392.88,6.96,0.45,176112,84852,7.13,0.31,1189,0,223524,60516,32004,612,110160,2479,142.6,55.87
40666,10/16/2017,272,5044.2,725.13,6.96,0.47,323604,14580,1.25,0.04,1896,0,258372,156816,11484,792,309564,4255.8,21.4,56.12
40368,6/18/2017,280,6882.7,986.88,6.97,0.47,422856,164196,17.75,0.27,2543,9,528372,256536,205668,11808,468576,6436.6,238.8,58.6
40668,10/17/2017,257,3789.4,543.5,6.97,0.45,247752,114804,12.75,0.31,1337,1,488592,102420,9792,216,261324,3324.1,307.5,55.06
27990,9/8/2016,262,79819.9,11431.75,6.98,0.47,5101574,4324297,542.13,0.45,21268,27,155058,3071737,145119,6216,5235268,74042.8,2828.1,56.33
28450,9/8/2016,262,79819.9,11431.75,6.98,0.47,5101560,4324284,542.13,0.45,21268,27,155052,3071736,145116,6228,5235264,74042.8,2828.1,56.33
28428,8/21/2016,267,262984,37654.13,6.98,0.46,16383744,8155008,1007.13,0.32,61678,50,767376,4169736,5520348,125460,15699924,243565.7,9925.1,57.79
40610,9/5/2017,267,2507.9,359.25,6.98,0.47,153756,36612,3.5,0.19,490,1,1041372,45576,64188,432,58536,2337,78.9,58.72
28426,8/21/2016,273,280466.4,40142.25,6.99,0.46,17745948,6525000,594.13,0.26,112582,81,279792,8754660,3891312,98460,19854432,259647.9,10446.6,56.9
28427,8/21/2016,273,280466.4,40142.25,6.99,0.46,17745948,6525000,594.13,0.26,112582,81,279792,8754660,3891312,98460,19854432,259647.9,10446.6,56.9
39586,3/18/2017,268,55344.2,7906,7,0.46,3410028,1757664,157,0.33,17896,30,88272,2240028,151668,15768,2479788,52135.8,1461.3,58.43
28707,10/23/2016,275,153192.2,21894.87,7,0.46,9459396,9860976,1940.25,0.5,35590,60,76608,5045508,454140,31572,14160456,143537,4856.5,58.3
40187,5/16/2017,274,6601.2,942.5,7,0.47,397872,151092,23.75,0.27,1810,2,176436,263664,241632,2232,226548,6221.7,164.5,59.73
